Epoch [89/1000], Loss: 1.7469, Accuracy: 32.76740237691002%
Epoch [90/1000], Loss: 1.7626, Accuracy: 31.57894736842105%
Epoch [91/1000], Loss: 1.9476, Accuracy: 33.61629881154499%
Epoch [92/1000], Loss: 1.8339, Accuracy: 34.04074702886248%
Epoch [93/1000], Loss: 1.5084, Accuracy: 33.70118845500849%
Epoch [94/1000], Loss: 1.3572, Accuracy: 32.85229202037351%
Epoch [95/1000], Loss: 1.6920, Accuracy: 33.276740237691%
Epoch [96/1000], Loss: 1.6342, Accuracy: 32.34295415959253%
Epoch [97/1000], Loss: 1.4517, Accuracy: 33.70118845500849%
Epoch [98/1000], Loss: 1.3682, Accuracy: 33.70118845500849%
Epoch [99/1000], Loss: 1.4521, Accuracy: 35.144312393887944%
Epoch [100/1000], Loss: 1.4473, Accuracy: 32.512733446519526%
Epoch [101/1000], Loss: 1.4339, Accuracy: 33.70118845500849%
Epoch [102/1000], Loss: 1.3933, Accuracy: 35.483870967741936%
Epoch [103/1000], Loss: 1.3420, Accuracy: 34.29541595925297%
Epoch [104/1000], Loss: 1.5853, Accuracy: 33.95585738539898%
Epoch [105/1000], Loss: 1.3581, Accuracy: 34.21052631578947%
Epoch [106/1000], Loss: 1.4335, Accuracy: 33.02207130730051%
Epoch [107/1000], Loss: 1.2363, Accuracy: 34.38030560271647%
Epoch [108/1000], Loss: 1.0583, Accuracy: 33.02207130730051%
Epoch [109/1000], Loss: 1.1524, Accuracy: 32.512733446519526%
Epoch [110/1000], Loss: 1.5438, Accuracy: 33.95585738539898%
Epoch [111/1000], Loss: 1.2805, Accuracy: 33.61629881154499%
Epoch [112/1000], Loss: 1.3771, Accuracy: 34.21052631578947%
Epoch [113/1000], Loss: 1.8491, Accuracy: 36.5874363327674%
Epoch [114/1000], Loss: 1.3605, Accuracy: 34.550084889643465%
Epoch [115/1000], Loss: 0.9450, Accuracy: 35.99320882852292%
Epoch [116/1000], Loss: 1.4723, Accuracy: 34.04074702886248%
Epoch [117/1000], Loss: 1.5637, Accuracy: 36.078098471986415%
Epoch [118/1000], Loss: 1.4160, Accuracy: 35.908319185059426%
Epoch [119/1000], Loss: 1.4616, Accuracy: 37.18166383701188%
Epoch [120/1000], Loss: 1.6882, Accuracy: 35.99320882852292%
Epoch [121/1000], Loss: 1.6959, Accuracy: 36.41765704584041%
Epoch [122/1000], Loss: 1.1597, Accuracy: 36.6723259762309%
Epoch [123/1000], Loss: 1.2495, Accuracy: 34.71986417657046%
Epoch [124/1000], Loss: 1.2193, Accuracy: 34.71986417657046%
Epoch [125/1000], Loss: 1.1847, Accuracy: 35.908319185059426%
Epoch [126/1000], Loss: 1.2247, Accuracy: 33.70118845500849%
Epoch [127/1000], Loss: 1.3163, Accuracy: 34.97453310696095%
Epoch [128/1000], Loss: 1.1029, Accuracy: 32.93718166383701%
Epoch [129/1000], Loss: 1.0931, Accuracy: 35.73853989813243%
Epoch [130/1000], Loss: 0.9226, Accuracy: 34.97453310696095%
Epoch [131/1000], Loss: 0.8690, Accuracy: 33.87096774193548%
Epoch [132/1000], Loss: 1.4128, Accuracy: 36.926994906621395%
Epoch [133/1000], Loss: 1.1177, Accuracy: 35.99320882852292%
Epoch [134/1000], Loss: 1.2153, Accuracy: 35.31409168081494%
Epoch [135/1000], Loss: 1.0269, Accuracy: 37.011884550084886%
Epoch [136/1000], Loss: 0.8823, Accuracy: 34.80475382003396%
Epoch [137/1000], Loss: 1.0241, Accuracy: 37.77589134125637%
Epoch [138/1000], Loss: 1.1975, Accuracy: 34.46519524617997%
Epoch [139/1000], Loss: 1.1346, Accuracy: 37.77589134125637%
Epoch [140/1000], Loss: 0.7947, Accuracy: 35.73853989813243%
Epoch [141/1000], Loss: 1.6498, Accuracy: 37.096774193548384%
Epoch [142/1000], Loss: 0.8224, Accuracy: 36.24787775891341%
Epoch [143/1000], Loss: 1.1228, Accuracy: 36.41765704584041%
Epoch [144/1000], Loss: 1.0391, Accuracy: 37.26655348047538%
Epoch [145/1000], Loss: 0.5832, Accuracy: 35.568760611205434%
Epoch [146/1000], Loss: 0.8109, Accuracy: 37.77589134125637%
Epoch [147/1000], Loss: 0.7243, Accuracy: 37.35144312393888%
Epoch [148/1000], Loss: 0.9191, Accuracy: 36.078098471986415%
Epoch [149/1000], Loss: 0.7473, Accuracy: 36.5874363327674%
Epoch [150/1000], Loss: 0.7142, Accuracy: 35.568760611205434%
Epoch [151/1000], Loss: 0.7885, Accuracy: 33.78607809847199%
Epoch [152/1000], Loss: 0.7426, Accuracy: 38.539898132427844%
Epoch [153/1000], Loss: 0.5172, Accuracy: 36.24787775891341%
Epoch [154/1000], Loss: 0.5734, Accuracy: 36.926994906621395%
Epoch [155/1000], Loss: 0.6470, Accuracy: 37.69100169779287%
Epoch [156/1000], Loss: 0.8550, Accuracy: 36.6723259762309%
Epoch [157/1000], Loss: 1.3410, Accuracy: 36.078098471986415%
Epoch [158/1000], Loss: 0.8450, Accuracy: 37.096774193548384%
Epoch [159/1000], Loss: 0.5277, Accuracy: 36.16298811544991%
Epoch [160/1000], Loss: 0.6410, Accuracy: 36.5874363327674%
Epoch [161/1000], Loss: 0.6053, Accuracy: 37.60611205432937%
Epoch [162/1000], Loss: 1.0842, Accuracy: 35.568760611205434%
Epoch [163/1000], Loss: 0.7174, Accuracy: 37.521222410865875%
Epoch [164/1000], Loss: 0.8538, Accuracy: 36.5874363327674%
Epoch [165/1000], Loss: 0.5421, Accuracy: 38.030560271646856%
Epoch [166/1000], Loss: 0.7900, Accuracy: 36.5874363327674%
Epoch [167/1000], Loss: 0.8862, Accuracy: 35.65365025466893%
Epoch [168/1000], Loss: 0.5242, Accuracy: 37.86078098471987%
Epoch [169/1000], Loss: 0.4913, Accuracy: 37.60611205432937%
Epoch [170/1000], Loss: 0.7469, Accuracy: 34.550084889643465%
Epoch [171/1000], Loss: 0.4741, Accuracy: 37.77589134125637%
Epoch [172/1000], Loss: 0.5593, Accuracy: 35.99320882852292%
Epoch [173/1000], Loss: 1.0272, Accuracy: 36.7572156196944%
Epoch [174/1000], Loss: 0.6951, Accuracy: 36.41765704584041%
Epoch [175/1000], Loss: 0.4966, Accuracy: 35.39898132427844%
Epoch [176/1000], Loss: 0.5115, Accuracy: 36.502546689303905%
Epoch [177/1000], Loss: 0.4700, Accuracy: 37.43633276740238%
Epoch [178/1000], Loss: 0.7290, Accuracy: 36.5874363327674%
Epoch [179/1000], Loss: 0.9098, Accuracy: 37.60611205432937%
Epoch [180/1000], Loss: 0.4130, Accuracy: 36.24787775891341%
Epoch [181/1000], Loss: 0.6956, Accuracy: 36.926994906621395%
Epoch [182/1000], Loss: 0.6671, Accuracy: 38.28522920203735%
Epoch [183/1000], Loss: 0.5118, Accuracy: 39.30390492359932%
Epoch [184/1000], Loss: 0.6227, Accuracy: 37.011884550084886%
Epoch [185/1000], Loss: 0.9415, Accuracy: 36.7572156196944%
Epoch [186/1000], Loss: 0.3697, Accuracy: 37.521222410865875%
Epoch [187/1000], Loss: 0.7996, Accuracy: 36.41765704584041%
Epoch [188/1000], Loss: 0.2946, Accuracy: 36.5874363327674%
Epoch [189/1000], Loss: 0.4729, Accuracy: 37.77589134125637%
Epoch [190/1000], Loss: 0.4994, Accuracy: 36.078098471986415%
Epoch [191/1000], Loss: 0.5616, Accuracy: 37.011884550084886%
Epoch [192/1000], Loss: 0.6023, Accuracy: 35.39898132427844%
Epoch [193/1000], Loss: 0.6491, Accuracy: 36.5874363327674%
Epoch [194/1000], Loss: 0.7996, Accuracy: 35.73853989813243%
Epoch [195/1000], Loss: 0.4195, Accuracy: 38.28522920203735%
Epoch [196/1000], Loss: 0.4356, Accuracy: 37.60611205432937%
Epoch [197/1000], Loss: 0.3640, Accuracy: 36.078098471986415%
Epoch [198/1000], Loss: 0.6906, Accuracy: 37.096774193548384%
Epoch [199/1000], Loss: 0.3710, Accuracy: 36.078098471986415%
Epoch [200/1000], Loss: 0.5521, Accuracy: 36.7572156196944%
